Genre,Track Name,Track ID,Popularity,Loudness,Tempo,Duration_ms,Energy,Key,Instrumentalness,Speechiness,Valence,Danceability
acoustic,Free,4oiPC90DjIQXXgMMgbHK4G,3,-6.624,124.997,148600,0.464,5,0.0,0.0386,0.851,0.793
acoustic,Better Together,2iXdwVdzA0KrI2Q0iZNJbX,75,-9.481,110.049,207680,0.346,5,9.24e-06,0.0522,0.659,0.871
acoustic,Good Life,5kFOzgIpiuiKkEyVlXQDI8,28,-7.186,94.991,207236,0.353,6,0.0,0.0295,0.622,0.661
acoustic,When I Was Your Man (feat. Fifth Harmony),417iZHySvA6ToTfg5uBMx0,0,-10.001,143.785,218473,0.237,7,0.0,0.039,0.163,0.404
acoustic,Bad Romance,4vdnC0qoyb89SmCow0OT4m,35,-5.109,116.207,340693,0.631,9,0.00075,0.029,0.275,0.409
acoustic,Jar of Hearts,0HZhYMZOcUzZKSFwPOti6m,73,-6.142,74.541,246587,0.348,3,0.0,0.0316,0.0886,0.349
acoustic,Baby,4NFhtFE68cXUrfbne8JE2c,0,-5.386,65.038,216520,0.854,8,0.0,0.32,0.567,0.463
acoustic,"Keep It Loose, Keep It Tight",69dDr3w8IIcOGKwlW5XntT,53,-11.693,131.599,188080,0.232,4,1.32e-06,0.0451,0.238,0.582
acoustic,Trouble,0W6jxWbCr1dggn7FSRiOlE,1,-11.753,173.083,241733,0.451,7,0.000174,0.0427,0.513,0.32
acoustic,Skinny Love,4RL77hMWUq35NYnPLXBpih,75,-8.485,166.467,201080,0.29,4,0.00106,0.051,0.169,0.379
acoustic,Last Kiss (feat. Megan & Liz),1QHXkafFgR9Woo98nlm4Z6,0,-11.309,80.144,362570,0.283,11,0.0,0.0287,0.187,0.564
acoustic,Kids,3Dy8QVSgVB3qNw9Xtc2Jjw,38,-7.393,115.945,235862,0.763,9,2.22e-05,0.0364,0.348,0.67
acoustic,Fix You,7LVHVU3tWfcxj5aiPFEW4Q,81,-8.74,138.265,295533,0.418,3,0.00195,0.0338,0.123,0.209
acoustic,E.T.,0bxllxzqkGNSKo8pHtZyA3,33,-9.091,149.99,180875,0.457,8,7.72e-05,0.0339,0.223,0.626
acoustic,Chasing Pavements (Live at Hotel Cafe),5gcj6l37gMBeSAjFnSKeWh,61,-9.492,78.075,232200,0.267,0,0.0,0.0392,0.202,0.545
acoustic,"Hey, Soul Sister",0KpfYajJVVGgQ32Dby7e9i,18,-4.432,97.03,216667,0.885,1,0.0,0.0436,0.768,0.675
acoustic,I Will Follow You Into The Dark,3kZC0ZmFWrEHdUCmUqlvgZ,65,-12.233,80.401,189187,0.206,5,0.0,0.0421,0.489,0.517
acoustic,Banana Pancakes,451GvHwY99NKV4zdKPRWmv,70,-8.053,114.303,191907,0.375,7,8.66e-06,0.0996,0.615,0.816
acoustic,U.N.I.,5Ukzlujip1Slqka5OY82YS,56,-11.126,74.13,228600,0.405,6,0.0,0.101,0.578,0.422
acoustic,Only Love,3MdYFBIzPf7lSJnI8wi3Ka,6,-9.891,80.305,249173,0.49,8,0.00174,0.137,0.365,0.547
acoustic,Wonderwall,7m2VsHmjyXZegtndWPgxOw,4,-12.608,157.04,248280,0.22,7,0.00398,0.0352,0.301,0.321
acoustic,"Next To Me - Live From Spotify NYC, USA/2012",4Y1ZvAbetcpZsmedL9uhmR,38,-7.939,92.401,220792,0.397,7,0.0,0.0734,0.294,0.477
acoustic,Roar,0vWjNkwgkTnyzfeLdTKWJ7,34,-7.258,89.963,196362,0.394,5,0.0,0.0263,0.425,0.64
acoustic,Hey There Delilah,0xM88xobymkMgg46MStfnV,64,-10.995,103.851,232853,0.376,2,0.000121,0.0307,0.321,0.51
acoustic,Delicate,5mb6SzBnxv1ywFSH9V3uxd,53,-14.502,81.179,312067,0.144,5,0.00112,0.0419,0.147,0.34
acoustic,"Welcome Home, Son",13PUJCvdTSCT1dn70tlGdm,7,-9.464,144.994,285320,0.537,6,0.732,0.0296,0.394,0.601
acoustic,"What The Water Gave Me - MTV Unplugged, 2012",6CoVbl8bCxBj25ZcbgK8C0,37,-7.616,127.742,295053,0.37,0,0.0,0.0312,0.29,0.37
acoustic,Skinny Love,7fXyuQqEBwpKtCa8PomO7B,3,-14.065,77.118,238520,0.26,4,4.59e-06,0.0484,0.112,0.59
acoustic,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",1fRYJWQZw6IGZU6u3rpqBO,2,-5.736,95.994,230787,0.371,5,0.0,0.0352,0.646,0.758
acoustic,Use Somebody (feat. Hannah Trigwell),7LpDHwLUGXaRve1OBNnYy3,0,-8.718,129.482,197125,0.271,0,0.0,0.0363,0.265,0.358
acoustic,Waiting On the World to Change (feat. Ben Harper),1BiJWoCw1xoYcZ76EO3IKV,49,-6.593,175.321,171667,0.624,2,3.13e-06,0.0954,0.619,0.544
acoustic,Chariot - Stripped Version,4wYIQRvu7JpP3h2v5o1IOe,43,-9.807,128.171,299307,0.374,7,0.0,0.0353,0.207,0.48
acoustic,Samson,2bbhyUWJ5VjdfI3P4PRLu2,51,-9.544,89.154,189507,0.193,11,9.74e-06,0.0421,0.184,0.49
acoustic,Lullaby,6oVt9GBbquoFDz3VTPFe1e,41,-16.778,115.643,177707,0.168,0,0.0349,0.0387,0.282,0.566
acoustic,Ain't No Sunshine,3gJgUanZ5JcFZJ1a5hM3dw,3,-8.151,78.884,122640,0.484,4,0.000228,0.0462,0.542,0.524
acoustic,The Scientist,75JFxkI2RXiU7L9VXzMkle,83,-7.224,146.448,309600,0.442,5,1.71e-05,0.0243,0.212,0.56
acoustic,A Thousand Miles (feat. Alex Goot),5N4NFz7R3iNUWBYoetcnCz,0,-7.538,95.083,244174,0.731,9,3.52e-06,0.0301,0.259,0.543
acoustic,Let Her Go,7DFNE7NO0raLIUbgzY2rzm,76,-7.335,75.089,252867,0.538,7,0.0,0.0572,0.244,0.509
acoustic,Payphone,5h3Wapr8ZukuHRZ5XMMejV,51,-12.106,104.858,184000,0.281,0,0.0,0.0442,0.653,0.757
acoustic,What Are Words,2cDDOxigaHr1I2eevlvxV6,1,-7.105,123.848,187440,0.252,0,0.0,0.032,0.38,0.596
acoustic,Rather Be,4Y9ZPnecYXbE7KxDVRq0Cm,1,-7.44,110.771,247817,0.332,11,0.0,0.0374,0.509,0.534
acoustic,Rolling in the Deep,6ZPJun3hVXkjR62q6GxJh1,39,-10.55,105.006,248147,0.457,0,0.00168,0.0279,0.528,0.799
acoustic,Mirrors (feat. Fifth Harmony),6FVuzVYUdbPBJr6kuxgNGs,0,-7.177,77.041,292567,0.658,1,0.0,0.0419,0.702,0.563
acoustic,Tee Shirt - Soundtrack Version,3C5in0EVdoGepp5bA6lhlE,62,-9.497,75.948,159507,0.341,9,2.69e-05,0.0272,0.557,0.684
acoustic,Skinny Love,78wvHiOarfOut310PnUnIr,36,-9.328,140.086,238505,0.305,11,0.0,0.0509,0.0953,0.479
acoustic,The Fear,3Ai44VQ9zklXdczSHCUutu,1,-9.578,125.944,260360,0.575,11,0.0115,0.0336,0.457,0.604
acoustic,Half of My Heart (feat. Savannah Outen),3bhEeOaJWG0JDoF1hd2IUm,0,-6.711,118.493,233861,0.759,5,0.0,0.0467,0.811,0.657
acoustic,Home Again,60yAKwBX4c3hm4uubwzvD2,1,-9.379,86.608,211520,0.373,7,0.0,0.0339,0.269,0.41
acoustic,Use Somebody,5GASbHpWg9D5ymGu4WeBuo,0,-4.887,124.704,164295,0.414,11,0.0,0.0287,0.163,0.458
acoustic,Don't Know Why,6ybViy2qrO9sIi41EgRJgx,73,-11.775,88.174,186147,0.198,5,1.1e-05,0.028,0.618,0.732
acoustic,Dear Mr. President (feat. Indigo Girls),3LbeKfy4BSviDTbs8dGiTq,37,-7.744,131.702,273907,0.384,10,0.0,0.0316,0.331,0.584
acoustic,Firework (feat. David Choi),15DEFXtVCYF4Pkv6xbxxuI,0,-7.843,116.041,285737,0.482,0,0.0,0.0276,0.34,0.579
acoustic,Ho Hey,6su14iUXShlMI5SnEkwe4J,0,-8.267,82.987,129227,0.453,1,0.0,0.0258,0.437,0.687
acoustic,You're Beautiful,0vg4WnUWvze6pBOJDTq99k,76,-9.87,81.998,209493,0.479,0,1.76e-05,0.0278,0.454,0.675
acoustic,"Dog Days Are Over - MTV Unplugged, 2012",3pRRYcXy3Z0PsAa8griSoF,57,-6.662,150.418,275333,0.534,9,0.0,0.0316,0.271,0.322
acoustic,I Will Wait,1QRtDNhyKj9LqLtMhJZPV4,32,-7.169,132.949,283076,0.434,1,0.000993,0.0332,0.227,0.348
