Genre,Track Name,Track ID,Popularity,Loudness,Tempo,Duration_ms,Energy,Key,Instrumentalness,Speechiness,Valence,Danceability
acoustic,Fast Car (feat. Kina Grannis),6UluzJStuOfZEQXTP3w6R9,1,-9.79,103.087,304293,0.255,10,0.0,0.0278,0.5,0.66
acoustic,Anna Sun - Live From Spotify NYC,3Syg4GwsW6yFeTbZUqWvYS,37,-10.246,139.473,287040,0.656,10,0.0,0.127,0.558,0.542
acoustic,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",1fRYJWQZw6IGZU6u3rpqBO,2,-5.736,95.994,230787,0.371,5,0.0,0.0352,0.646,0.758
acoustic,If It Means a Lot to You,6J7cSyvSCnPwv3vqHchEfL,68,-8.158,126.996,243227,0.536,10,0.0,0.0279,0.44,0.584
acoustic,When I Held Ya,7bcHBD27hxkK5aSXjWOysM,46,-6.108,153.939,209280,0.645,11,0.0,0.0372,0.418,0.425
acoustic,Live Tomorrow,3eOYmWvienEIgHJFAWE3ZD,47,-9.745,112.03,215906,0.426,1,9.07e-05,0.0293,0.613,0.671
acoustic,Hey Ya - live,4ztR83ZgTdg8H9xypnsQfS,44,-6.948,156.018,267547,0.485,4,0.0,0.0297,0.568,0.579
acoustic,First Defeat,2raqz5ptmCClo0QXWK6zkW,0,-11.243,144.411,243773,0.214,5,0.0021,0.0298,0.229,0.519
acoustic,Polly,7AUwhTIuxBn7Os76FPoIz7,1,-11.997,115.048,196394,0.388,11,0.000119,0.0365,0.429,0.615
acoustic,Wonderwall,7m2VsHmjyXZegtndWPgxOw,4,-12.608,157.04,248280,0.22,7,0.00398,0.0352,0.301,0.321
acoustic,Crosses,5gf6t8j49qayhwrnd05uLI,1,-9.945,134.631,161840,0.37,11,0.0235,0.0295,0.318,0.666
acoustic,Say Something,6Vc5wAMmXdKIAM7WUoEb7N,77,-8.822,141.284,229400,0.147,2,2.89e-06,0.0355,0.0765,0.407
acoustic,"Read All About It, Pt. III",30BsewEJZPxfuLNAlZPFje,67,-7.186,98.082,283707,0.44,2,3.87e-06,0.0249,0.343,0.63
acoustic,Wild Horses - Live / Remastered 2009,7uF4MX9BEA8E7Di2I1kdij,0,-8.819,73.026,309400,0.47,7,2.57e-05,0.0281,0.203,0.566
acoustic,Slow It Down,574GJ55EBM79W6n2V5bL5z,0,-14.42,142.436,307000,0.064,1,0.0,0.0374,0.108,0.428
acoustic,Drive,7nnWIPM5hwE3DaUBkvOIpy,74,-7.34,90.565,232453,0.792,4,0.0121,0.036,0.666,0.645
acoustic,Home,2ZQyksYO4zzhyHNcueL0CP,8,-5.884,121.001,209227,0.792,0,0.0,0.0335,0.293,0.592
acoustic,Where The Streets Have No Name - Unplugged,2Gy3tEwecEcO45QDNtiAti,0,-6.357,126.198,269667,0.708,0,0.000109,0.0464,0.0526,0.314
acoustic,U Smile,4vojpVoYaj4myAkIcfNKIN,1,-5.252,112.506,196907,0.605,1,1.56e-06,0.03,0.419,0.705
acoustic,"In Your Atmosphere - Live at the Nokia Theatre, Los Angeles, CA - December 2007",0EUSbTvyZfo9QOcxunL9Ro,59,-11.486,91.799,345627,0.44,4,8.83e-05,0.0294,0.285,0.368
acoustic,A Thousand Miles (feat. Alex Goot),5N4NFz7R3iNUWBYoetcnCz,0,-7.538,95.083,244174,0.731,9,3.52e-06,0.0301,0.259,0.543
acoustic,From Nowhere - Live At Spotify Offices / 2013,3tWqCtjZOwSWYJCVrRdAP0,23,-7.451,82.913,206565,0.559,4,6.46e-05,0.0313,0.337,0.492
acoustic,Hear the Noise That Moves So Soft and Low,4Sx182teh6ZFTko3z4e0Jj,42,-12.129,77.041,240912,0.38,0,0.0459,0.0357,0.384,0.46
acoustic,Let's Stay Together,75q69wO42dZP8VHnEAtPZe,39,-14.961,95.009,242281,0.239,4,6.19e-06,0.0718,0.509,0.812
acoustic,Catching Feelings,0XjaTaW5zEKoASxbdzHHAx,0,-6.631,86.341,234680,0.55,10,0.0,0.0369,0.375,0.332
acoustic,More Than Words,7z0JcZ8PQoAfUaLIXvbyTH,9,-14.201,91.354,335947,0.144,6,0.0,0.0298,0.255,0.621
acoustic,The Scientist,75JFxkI2RXiU7L9VXzMkle,83,-7.224,146.448,309600,0.442,5,1.71e-05,0.0243,0.212,0.56
acoustic,Chariot - Stripped Version,4wYIQRvu7JpP3h2v5o1IOe,43,-9.807,128.171,299307,0.374,7,0.0,0.0353,0.207,0.48
acoustic,Killing Me Softly,5iR5GQnY5ds7mxizUUVyfl,0,-10.136,118.135,251400,0.291,7,0.00495,0.0294,0.357,0.668
acoustic,Rolling in the Deep,6ZPJun3hVXkjR62q6GxJh1,39,-10.55,105.006,248147,0.457,0,0.00168,0.0279,0.528,0.799
acoustic,All of Me,3U4isOIWM3VvDubwSI3y7a,85,-7.064,119.93,269560,0.264,8,0.0,0.0322,0.331,0.422
acoustic,Right Here,6SKxEiP89WRgniJuQ5gR94,0,-4.964,92.033,204187,0.604,10,0.0,0.0443,0.681,0.646
acoustic,Bridges - Live From Spotify London,63Mc8r0sFwYzsNqHsexx5o,31,-10.374,134.404,270652,0.132,4,0.00073,0.0466,0.313,0.426
acoustic,The Violet Hour,6IN5LJsJQNPwzkytnTtrJC,36,-20.218,156.908,205040,0.18,2,0.953,0.044,0.166,0.384
acoustic,The A Team,1VdZ0vKfR5jneCmWIUAMxK,75,-9.918,84.996,258373,0.289,9,0.0,0.0367,0.407,0.642
acoustic,9 Crimes,5GZEeowhvSieFDiR8fQ2im,61,-15.326,136.168,217947,0.139,0,7.73e-05,0.0321,0.116,0.346
acoustic,Knots,0jYxmKsxHCCsdzQPFFUeM1,30,-6.098,108.446,211507,0.817,4,0.0,0.0309,0.207,0.493
acoustic,Overboard,7ddpaTlGkSfgdzLcvJtL8W,1,-5.214,173.907,251187,0.79,5,0.0,0.0501,0.468,0.48
acoustic,New Slang,5oUV6yWdDM0R9Q2CizRhIt,10,-11.547,130.015,231173,0.389,0,0.16,0.0306,0.649,0.669
acoustic,Day Is Done,6JFlwCkZGXj62ObbD9zDeX,0,-15.211,124.343,145867,0.295,2,0.487,0.033,0.452,0.489
acoustic,Heaven (feat. Megan Nicole),755WE9qLMDJFlVfci5suzT,0,-10.238,129.96,250063,0.28,8,0.0,0.0317,0.294,0.62
acoustic,XO,7cpCU3Denug5NGZsSpQl8v,72,-9.753,173.67,213627,0.377,2,0.0,0.0288,0.353,0.431
acoustic,They Ain't The Same,3kw7Zlhj7Qc2NGq5NDFRTg,3,-8.333,88.996,162013,0.248,4,0.0,0.0293,0.35,0.453
acoustic,Through The Dark,3Xakb20OXM5ZArqHqPTpiZ,0,-18.624,123.211,330067,0.127,7,0.916,0.0439,0.189,0.566
acoustic,I Will Wait,1QRtDNhyKj9LqLtMhJZPV4,32,-7.169,132.949,283076,0.434,1,0.000993,0.0332,0.227,0.348
acoustic,Homesick,0WeqauIUZSjsupDGXsXWsP,56,-8.767,92.048,193453,0.393,1,0.00775,0.0295,0.194,0.437
acoustic,I Can't Make You Love Me,69uJi5QsBtqlYkGURTBli8,67,-16.728,124.689,332960,0.149,7,9.65e-05,0.0319,0.113,0.588
acoustic,Don't Know Why,6ybViy2qrO9sIi41EgRJgx,73,-11.775,88.174,186147,0.198,5,1.1e-05,0.028,0.618,0.732
acoustic,Tee Shirt - Soundtrack Version,3C5in0EVdoGepp5bA6lhlE,62,-9.497,75.948,159507,0.341,9,2.69e-05,0.0272,0.557,0.684
acoustic,Fix You,7LVHVU3tWfcxj5aiPFEW4Q,81,-8.74,138.265,295533,0.418,3,0.00195,0.0338,0.123,0.209
acoustic,You're Beautiful,0vg4WnUWvze6pBOJDTq99k,76,-9.87,81.998,209493,0.479,0,1.76e-05,0.0278,0.454,0.675
acoustic,Only Girl (In The World) (feat. Alex Goot),3ohNs5SYgwCjnxl8QSjqvR,0,-9.538,118.094,237849,0.56,11,0.0,0.0341,0.467,0.719
acoustic,Lego House,4lSQxDc3HRjzTbq0AzKQ35,21,-11.07,80.07,185307,0.4,11,0.0,0.0352,0.525,0.6
acoustic,Stay,0GNI8K3VATWBABQFAzBAYe,74,-10.164,111.893,240707,0.31,9,6.12e-05,0.0283,0.125,0.621
acoustic,Crazy in Love,6m0qBDIhzICOwWMPZdgyVK,58,-9.401,78.906,227500,0.326,7,0.0,0.119,0.489,0.606
acoustic,Tears in Heaven,7utRJ4BeYx85khzP3lKoBX,62,-12.238,153.744,271760,0.242,9,0.536,0.0257,0.312,0.498
acoustic,Distant Sun,3KZG39hHZiQrxFGLUaeWPb,31,-5.885,103.008,236467,0.611,7,5.76e-06,0.0244,0.331,0.561
acoustic,Best Thing I Never Had (made famous by Beyoncé),1u3PLSZ2YkkUBuapHKz29w,0,-13.245,142.68,183179,0.11,6,0.0,0.0618,0.382,0.601
acoustic,Song For Zula - Live From Spotify London,362LzQDbfNdZDuv37BIEkG,39,-9.799,87.588,275227,0.344,4,0.000277,0.0299,0.111,0.441
acoustic,Last Request,6xM8oBy40nK1rOd8WmoOPx,67,-6.564,80.925,220413,0.704,5,0.0,0.0476,0.4,0.605
acoustic,Dear Mr. President,1NdgDGYG4J827IvfeDgF4o,0,-9.154,128.039,280747,0.299,10,0.0,0.0385,0.297,0.476
acoustic,Hurt,5VFzIzR8nACf9Bad4O73f6,5,-11.768,90.459,218587,0.292,9,0.00223,0.0291,0.157,0.514
acoustic,Never Say Never,57uX2vR9j9DNiANDYfXw1i,68,-5.767,160.139,256613,0.492,8,8.18e-06,0.0317,0.262,0.23
acoustic,Iris,6vrUTGn5p8IrfTZ0J6sIVM,74,-5.683,155.667,289907,0.79,11,5.61e-06,0.0363,0.513,0.291
acoustic,American Boy - Radio 1 Live Lounge,3GEKqgBUD2WQIsuVBv9rU0,38,-6.053,103.555,217133,0.564,3,0.0,0.0918,0.637,0.692
acoustic,In the Ghetto,6csLL0MBNVIMx19PfsKsW7,50,-10.592,87.907,177573,0.415,10,0.00356,0.0313,0.418,0.477
acoustic,All I Want,1XczdQt6RKNkEQfPqUsi3q,58,-9.08,187.212,306600,0.427,0,0.0923,0.0449,0.158,0.189
acoustic,Angeles,6IQTaNmbMMO1mX3p8iwEBQ,4,-23.548,118.139,176827,0.0993,4,0.2,0.0549,0.588,0.53
acoustic,"Next To Me - Live From Spotify NYC, USA/2012",4Y1ZvAbetcpZsmedL9uhmR,38,-7.939,92.401,220792,0.397,7,0.0,0.0734,0.294,0.477
acoustic,Lullaby,6oVt9GBbquoFDz3VTPFe1e,41,-16.778,115.643,177707,0.168,0,0.0349,0.0387,0.282,0.566
acoustic,Girl On Fire,6qOEjO2IUD7PjtpsXawq0d,6,-5.762,92.494,224920,0.706,9,0.00106,0.0609,0.144,0.482
acoustic,Tainted Love,1SZ63wN0pk18Dr4Epyhcsf,1,-12.877,120.861,153267,0.192,5,7.05e-06,0.0481,0.437,0.676
acoustic,"Hey, Soul Sister",0KpfYajJVVGgQ32Dby7e9i,18,-4.432,97.03,216667,0.885,1,0.0,0.0436,0.768,0.675
acoustic,Love The Way You Lie - Part III (Original Demo),7jPumBvn7m7l3nolkML3cZ,0,-11.544,83.012,249933,0.248,10,0.0,0.0352,0.232,0.568
acoustic,Dirty Old Town,567EmmCbOtpEuaVC2zznU6,12,-12.7,159.764,246453,0.418,0,0.00119,0.0455,0.328,0.555
acoustic,Use Somebody,5GASbHpWg9D5ymGu4WeBuo,0,-4.887,124.704,164295,0.414,11,0.0,0.0287,0.163,0.458
acoustic,Keep Your Head Up,2JFmTONwQdRaOj2s2DhFah,3,-8.244,157.965,261561,0.584,4,3.33e-05,0.0351,0.427,0.444
acoustic,Your Guardian Angel,2Guz1b911CbpG8L92cnglI,65,-6.583,112.62,229235,0.48,5,3.03e-06,0.0296,0.382,0.29
acoustic,Delicate,5mb6SzBnxv1ywFSH9V3uxd,53,-14.502,81.179,312067,0.144,5,0.00112,0.0419,0.147,0.34
acoustic,Stay With Me,7IHOIqZUUInxjVkko181PB,10,-6.535,84.899,172724,0.418,0,0.000193,0.0377,0.176,0.5
acoustic,Wonderwall,2CT3r93YuSHtm57mjxvjhH,10,-4.373,174.426,258613,0.892,2,0.0,0.0336,0.651,0.409
acoustic,A Drop In The Ocean,5JDcQAztvZTIkrWoZihgvC,72,-8.65,73.139,220239,0.393,5,0.0,0.038,0.564,0.447
acoustic,When I Was Your Man (feat. Fifth Harmony),417iZHySvA6ToTfg5uBMx0,0,-10.001,143.785,218473,0.237,7,0.0,0.039,0.163,0.404
acoustic,"You Need Me, I Don't Need You",5KL4iZkCTZyXl7KnHgfVDj,63,-8.837,103.483,220413,0.837,7,0.0,0.0512,0.927,0.749
acoustic,Gone Tomorrow,11gqufRVufobe8jGNHmibY,33,-15.167,101.182,207520,0.239,9,0.00133,0.0309,0.0933,0.585
acoustic,Sunrise,7zkLpY72g6lKQbiHDqri1S,71,-13.797,156.848,200627,0.299,8,0.097,0.031,0.679,0.526
acoustic,Chasing Pavements (Live at Hotel Cafe),5gcj6l37gMBeSAjFnSKeWh,61,-9.492,78.075,232200,0.267,0,0.0,0.0392,0.202,0.545
acoustic,The Wolves,3gqP2hxwgi6mb8FhtEe4zU,1,-9.889,119.159,309347,0.531,0,0.00901,0.0325,0.507,0.496
acoustic,Higher Love,7apw8m9lHQjvuUVfMAm4kZ,59,-17.892,89.862,215590,0.119,5,0.000348,0.05,0.176,0.323
acoustic,One Love,0FwkLxm84A5P3YNlZzfM0J,0,-7.47,127.897,234493,0.622,11,0.0,0.0324,0.206,0.686
acoustic,Somewhere With You,7jLwP6B3bcEQFooFZk67cH,33,-6.625,110.167,165986,0.4,1,0.0,0.0302,0.423,0.636
acoustic,Halo,2vasVBj2PtJ8mBSDsXvrbv,0,-6.802,101.335,197760,0.358,9,0.0,0.0363,0.416,0.448
acoustic,Give Me Love,0SuG9kyzGRpDqrCWtgD6Lq,73,-9.864,116.068,526387,0.328,1,0.0,0.0461,0.11,0.526
acoustic,Scene Two - Roger Rabbit,7la8N6YLMUDAXl2iAEe9Sy,60,-7.323,123.979,197947,0.562,0,0.0,0.0379,0.183,0.693
acoustic,Everybody Wants To Rule the World,2WgXC4t6US3sPgvDQjuyi2,29,-12.916,97.414,148160,0.112,9,0.0,0.0398,0.179,0.563
acoustic,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",4LloVtxNZpeh7q7xdi1DQc,74,-13.262,172.638,263573,0.296,5,0.0,0.0317,0.436,0.315
acoustic,Mean (feat. Megan Nicole),2Drc9PoczynmltogkEhrFg,0,-6.974,81.747,240159,0.425,8,0.0,0.0297,0.377,0.459
acoustic,Ghosts,3LHg768dEKqJKht2uPTlVR,54,-11.546,141.974,179960,0.368,9,0.0,0.048,0.75,0.463
acoustic,Born This Way,1mgrAR1eIxghtjZUP9uBIh,26,-6.055,199.774,211453,0.41,7,0.0,0.0475,0.837,0.539
acoustic,Landslide,5ihS6UUlyQAfmp48eSkxuQ,78,-22.32,159.375,199493,0.161,7,0.000223,0.0318,0.423,0.414
afrobeat,Sa Golo,1mDZpgKx9Xpg6ijl9DvdA6,9,-6.697,101.082,296293,0.769,4,6.21e-05,0.04,0.634,0.519
afrobeat,Pata Pata,4S4dCACmtuPWbhvMSfDXqN,3,-7.278,126.038,180147,0.788,3,0.0,0.0382,0.974,0.818
afrobeat,Penda Yoro,7KVy6npMdvnDl7QRcpTMtr,0,-9.417,171.818,321440,0.643,5,0.258,0.0526,0.718,0.509
afrobeat,Alama,0380J5YBxBw1xtGdtC3wdE,0,-14.188,81.743,215440,0.147,11,4.48e-06,0.0574,0.556,0.449
afrobeat,Asuf D Alwa,2bUahGkYleCClEvXvH8TVR,0,-9.062,156.191,251160,0.527,10,2.18e-05,0.0426,0.46,0.543
afrobeat,Iyo Djeli,0WjBwFCJ9lFyPrNKAogEew,0,-5.867,89.395,396627,0.734,10,7.13e-06,0.0413,0.836,0.593
afrobeat,Shakara (Oloje),074FCBEJg8ZcSTCR2SBIbO,0,-6.626,120.004,805733,0.713,1,0.048,0.0414,0.599,0.646
afrobeat,Roll It,4AqQIE3qpRV9T30NtvMnHP,21,-2.311,115.0,257720,0.806,8,0.0,0.0829,0.974,0.954
afrobeat,Wine Slow,1MjdB0vutPGJCPLtJfYtC2,0,-8.698,119.845,154671,0.557,8,0.0,0.286,0.425,0.615
afrobeat,Sabu Yerkoy,27i5E9ok44Ymh7jtmN0OAy,0,-12.63,81.317,248987,0.364,4,0.0658,0.0333,0.697,0.599
afrobeat,Katolon,7wAZQmk9tH1ZZFubPexO6X,0,-9.122,146.07,418187,0.403,2,1.47e-05,0.0721,0.42,0.763
afrobeat,Black President,6Nd9aoaL1lV3013tP5Meff,0,-7.35,103.975,331827,0.73,9,0.847,0.0336,0.926,0.67
afrobeat,Ha Po Zamani,3r9K3hDcw6LCQoRkw64toA,0,-8.893,168.166,177707,0.617,4,0.0,0.0457,0.914,0.538
afrobeat,All the Same,1nwWS19NmjdNr4IlMuvRWX,0,-6.821,149.526,269693,0.716,11,1.93e-06,0.0377,0.404,0.459
afrobeat,Monie,2mWTa16EFEbJCQqcZpjTla,0,-4.272,132.903,282573,0.946,9,0.299,0.0317,0.959,0.622
afrobeat,Plaintain Bay,0dHMhpJYDrKOeHMyCeL9yn,26,-9.976,110.016,234280,0.781,10,0.0,0.327,0.962,0.649
afrobeat,Il N'est Jamais Trop Tard,4ls2EezIHWWQDLubJzM88f,0,-13.573,83.783,271053,0.483,7,0.0623,0.0667,0.894,0.676
afrobeat,La Tortura (feat. Alejandro Sanz),5BSclXJTa9B0iURhUjZo50,73,-5.367,100.011,212893,0.783,0,0.000308,0.0427,0.812,0.74
afrobeat,Alu Jon Jonki Jon,77eEcHR7onx8Bf1687zbsM,0,-7.323,112.267,761467,0.873,5,0.076,0.0912,0.773,0.695
afrobeat,Cler Achel,5uscjCcGU5eMxCoN2o1ACp,0,-5.372,98.614,267533,0.797,2,0.00923,0.0558,0.926,0.685
afrobeat,Dissan Na M'bera,20FhPc73ZxP5jGXCsbPTgD,42,-8.141,109.514,313480,0.757,10,0.318,0.0389,0.971,0.628
afrobeat,Malembe,4BBieNFNCCv70oHXk9zpNv,17,-7.021,127.04,295627,0.793,7,2.97e-05,0.119,0.721,0.745
afrobeat,Ruby,7cavYwUJmzqjWozykoPQFg,1,-12.102,177.659,355840,0.31,9,0.687,0.0398,0.408,0.361
afrobeat,Khona (feat. Uhuru),300DzFkBAgf9PgPbl0ta4o,40,-7.179,125.016,295813,0.655,10,0.0462,0.0494,0.442,0.758
afrobeat,Dami Duro,2ZW1j8uz7YuSvi0Aj8MlED,0,-4.63,124.986,252082,0.959,5,0.0,0.111,0.739,0.662
afrobeat,Do as I Do (feat. Tiwa Savage & Mayd),5CenzEda9253FnWUkqawgW,31,-3.818,119.992,246107,0.882,6,1.84e-06,0.0735,0.964,0.771
afrobeat,M'bifé,2CR70HTSKkONUNd71CgmCG,0,-7.136,108.971,131053,0.578,7,0.00333,0.0252,0.431,0.727
afrobeat,Bumper To Bumper,7GBBywMahwItWyLdbvXUnv,0,-8.464,119.965,227000,0.793,3,0.0,0.0752,0.686,0.742
afrobeat,Yamore,507PAwSH84xCCDM3emWte7,50,-9.696,80.086,438453,0.463,1,0.0,0.0562,0.677,0.621
afrobeat,The Matter (feat. Wizkid),2cWdhA4ZDBvYuHRKKIPT3k,41,-6.782,103.07,198058,0.841,2,0.0,0.271,0.808,0.697
afrobeat,,5LZryt1VzHQzW7ykNOnQ59,0,-5.708,125.33,335880,0.909,0,0.0,0.132,0.906,0.631
afrobeat,Yègellé Tezeta,6UTg8n7UkdHq77b1ToTVA0,4,-13.539,125.597,194293,0.233,3,0.746,0.0414,0.778,0.839
afrobeat,Aon Aon,57BqpzkQWkCOxASHhNEZl0,0,-11.364,113.629,277280,0.358,8,0.0544,0.0552,0.714,0.674
afrobeat,M'Bemba,2tH1HP8t8tLGR1eze4ZpQm,0,-9.876,80.004,528765,0.557,5,0.00016,0.0517,0.726,0.649
