,Genre,Track Name,Track ID,Popularity,Loudness,Tempo,Duration_ms,Energy,Key,Instrumentalness,Speechiness,Valence,Danceability
0,acoustic,Take You,2m7DhPeRvWtFSPTVSLO8SV,0,-6.554,126.056,220893,0.723,6,0.000838,0.037,0.44,0.662
1,acoustic,Upside Down,6shRGWCtBUOPFLFTTqXZIC,68,-8.339,102.485,208653,0.655,6,0.000171,0.0431,0.65,0.787
2,acoustic,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",3B7udSGy2PfgoCniMSb523,74,-20.514,152.037,300840,0.0549,10,0.0,0.0397,0.234,0.581
3,acoustic,Heartbeats,7BzhqmRj3iOZXqMHqiifHr,8,-16.746,87.485,160240,0.15,3,0.731,0.0347,0.316,0.552
4,acoustic,Over The Rainbow/What A Wonderful World,0Cll7d8lmNn05ZOVm5l5va,2,-13.6,85.098,304467,0.16,0,7.58e-05,0.039,0.661,0.676
5,acoustic,The Cave,33e9HtOfO1ye1h8xQ7Foc9,4,-9.463,141.938,215627,0.499,4,4.4e-05,0.0374,0.345,0.592
6,acoustic,With Or Without You (feat. Kina Grannis),4UE2pdunsfhZPJNPFGQCol,0,-9.007,106.327,243187,0.288,5,0.0,0.027,0.114,0.498
7,acoustic,Somebody That I Used To Know,5k3TjK9MbVqxj8VNNsyBoB,38,-7.531,133.812,191750,0.371,0,0.0,0.0406,0.394,0.72
8,acoustic,Home/Dirty Paws,24rFwAcC6eqPvyMuPynVGH,58,-10.89,115.028,173509,0.208,2,0.0,0.0313,0.232,0.663
9,acoustic,Good Riddance (Time of Your Life),6ORqU0bHbVCRjXm9AjyHyZ,75,-7.844,94.605,153467,0.432,7,0.0,0.0302,0.648,0.475
10,acoustic,Little Things,7kSLdGdXLey7pzLsWpdg1h,77,-11.716,110.095,219640,0.222,7,0.0,0.0329,0.556,0.707
11,acoustic,The Girl,2KHFNeIuubGY26Rkx0vYL0,0,-7.591,77.001,362107,0.541,10,4.45e-05,0.0432,0.175,0.31
12,acoustic,Landslide - Live,5YaQ1OHyg5S6fOyBDUyBHN,38,-11.249,145.458,237267,0.248,10,0.000248,0.031,0.403,0.414
13,acoustic,Fever To The Form,0kH34dqX33tTq0ZEyoBFIm,3,-8.929,142.01,252960,0.566,0,0.0658,0.0304,0.237,0.335
14,acoustic,Rolling in the Deep,6ZPJun3hVXkjR62q6GxJh1,39,-10.55,105.006,248147,0.457,0,0.00168,0.0279,0.528,0.799
15,acoustic,Dear Mr. President (feat. Indigo Girls),3LbeKfy4BSviDTbs8dGiTq,37,-7.744,131.702,273907,0.384,10,0.0,0.0316,0.331,0.584
16,acoustic,This,0pJfsPQesJyCnR5XWZyvj9,56,-14.301,152.139,195840,0.0929,11,0.00539,0.0443,0.502,0.588
