,Genre,Track Name,Track ID,Popularity,Loudness,Tempo,Duration_ms,Energy,Key,Instrumentalness,Speechiness,Valence,Danceability
0,acoustic,Tainted Love,1SZ63wN0pk18Dr4Epyhcsf,1,-12.877,120.861,153267,0.192,5,7.05e-06,0.0481,0.437,0.676
1,acoustic,Ho Hey,6su14iUXShlMI5SnEkwe4J,0,-8.267,82.987,129227,0.453,1,0.0,0.0258,0.437,0.687
2,acoustic,Whisper the Answer,1KzxgnTo2nKbuiTlJPKCjc,0,-12.04,180.068,214187,0.372,0,0.15,0.043,0.249,0.592
3,acoustic,Lucky,0IktbUcnAGrvD03AWnz3Q8,76,-8.699,130.032,191360,0.417,0,0.0,0.0354,0.721,0.623
4,acoustic,Somewhere With You,7jLwP6B3bcEQFooFZk67cH,33,-6.625,110.167,165986,0.4,1,0.0,0.0302,0.423,0.636
5,acoustic,Baby,4NFhtFE68cXUrfbne8JE2c,0,-5.386,65.038,216520,0.854,8,0.0,0.32,0.567,0.463
6,acoustic,"Sleeping Bear, Sault Ste. Marie",4T9v4pCTlehkyxVHJZJWSK,0,-14.047,105.335,172120,0.321,7,0.662,0.0312,0.206,0.351
7,acoustic,First Defeat,2raqz5ptmCClo0QXWK6zkW,0,-11.243,144.411,243773,0.214,5,0.0021,0.0298,0.229,0.519
8,acoustic,Crash Into Me,7HwnHKItKX5kS1veNpxVko,0,-12.069,99.762,309000,0.312,4,0.0,0.0327,0.251,0.509
9,acoustic,E.T.,0bxllxzqkGNSKo8pHtZyA3,33,-9.091,149.99,180875,0.457,8,7.72e-05,0.0339,0.223,0.626
10,acoustic,Walk Through Hell,5kMrUke24sWhjzgy7WBO7c,33,-9.134,165.905,208760,0.401,9,0.0,0.287,0.484,0.572
11,acoustic,Lullaby,6oVt9GBbquoFDz3VTPFe1e,41,-16.778,115.643,177707,0.168,0,0.0349,0.0387,0.282,0.566
12,acoustic,The Mess I Made,46XMysg4VurmyAQ28tshqz,47,-5.129,165.377,231453,0.591,6,0.0,0.0339,0.173,0.405
13,acoustic,Thought Of You,2XpeEJgRYnKl41tJia9ggT,0,-5.019,123.24,230107,0.718,2,1.55e-05,0.0317,0.521,0.694
14,acoustic,Cherry Blossoms,7paYa83IYmg2dvRu3NvcKL,43,-12.683,76.31,222947,0.188,2,0.11,0.0318,0.158,0.329
15,acoustic,Wild Horses - Live / Remastered 2009,7uF4MX9BEA8E7Di2I1kdij,0,-8.819,73.026,309400,0.47,7,2.57e-05,0.0281,0.203,0.566
16,acoustic,Dirty Old Town,567EmmCbOtpEuaVC2zznU6,11,-12.7,159.764,246453,0.418,0,0.00119,0.0455,0.328,0.555
17,acoustic,Wonderwall,2CT3r93YuSHtm57mjxvjhH,9,-4.373,174.426,258613,0.892,2,0.0,0.0336,0.651,0.409
18,acoustic,Carry You Home,1zVBU0PAj7ZUVmVfG2pgQG,61,-9.021,83.019,234640,0.507,2,1.21e-06,0.0313,0.217,0.582
19,acoustic,Frontin' - Live At The BBC / 2004,4OUIgrrxVUqyXuaWW7XDhu,0,-8.486,95.567,239453,0.603,0,0.0,0.072,0.447,0.554
20,acoustic,Ain't No Sunshine,3gJgUanZ5JcFZJ1a5hM3dw,3,-8.151,78.884,122640,0.484,4,0.000228,0.0462,0.542,0.524
21,acoustic,Keep Your Head Up,2JFmTONwQdRaOj2s2DhFah,2,-8.244,157.965,261561,0.584,4,3.33e-05,0.0351,0.427,0.444
22,acoustic,Walking in Memphis,5fgkjhICZnqFctrV0AyuQD,70,-8.831,130.269,252613,0.512,0,0.0,0.0357,0.334,0.567
23,acoustic,Free,4oiPC90DjIQXXgMMgbHK4G,3,-6.624,124.997,148600,0.464,5,0.0,0.0386,0.851,0.793
24,acoustic,How to Save a Life,5fVZC9GiM4e8vu99W0Xf6J,80,-4.08,122.035,262533,0.743,10,0.0,0.0379,0.361,0.64
25,acoustic,You Give Me Something,5GPk5ri9ArqVCHEKjR3nfQ,1,-6.564,79.789,212973,0.673,0,0.0,0.0799,0.561,0.563
26,acoustic,One Time,6eDApnV9Jdb1nYahOlbbUh,68,-2.528,145.999,215867,0.853,1,7.13e-05,0.0372,0.762,0.691
27,acoustic,Girl On Fire,6qOEjO2IUD7PjtpsXawq0d,5,-5.762,92.494,224920,0.706,9,0.00106,0.0609,0.144,0.482
28,acoustic,Just The Way You Are,24lMtPOCzP5g4hrg3NklLa,10,-5.413,109.012,220733,0.843,5,0.0,0.0432,0.434,0.637
29,acoustic,Be the Song,5A1u2GMvgMOMECWuYRBNc1,0,-17.203,106.155,393493,0.308,7,0.718,0.0276,0.117,0.498
30,acoustic,"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 1999 Remaster",6YEOmCsXSk9ZPE0FkcCiuQ,59,-14.317,94.04,260440,0.389,2,0.000398,0.0384,0.621,0.51
31,acoustic,Walk on the Wild Side,0EFEkt29P7Icr7dO4vN6yk,9,-19.746,104.5,253960,0.262,0,0.000204,0.105,0.376,0.564
32,acoustic,Little Bird - Deluxe Edition,4bcgRbGeq4IejesjsiHyTH,53,-8.676,104.02,224529,0.425,8,0.0,0.0352,0.284,0.843
33,acoustic,Video Games - Remastered,0fBSs3fRoh1yJcne77fdu9,69,-9.595,72.847,281960,0.249,6,1e-06,0.0348,0.181,0.236
34,acoustic,Roll Away Your Stone,1MUQ6LtYIw6sSGQJEoIi2X,0,-8.956,137.49,261480,0.547,4,5.57e-05,0.0458,0.181,0.437
35,acoustic,Higher Love,7apw8m9lHQjvuUVfMAm4kZ,58,-17.892,89.862,215590,0.119,5,0.000348,0.05,0.176,0.323
36,acoustic,Shine,1z7ipCbtUKz3Nepd2r39bc,53,-10.482,118.091,182640,0.537,4,1.89e-06,0.0286,0.683,0.715
37,acoustic,You Found Me,4IoYz8XqqdowINzfRrFnhi,74,-5.412,151.994,241853,0.803,8,0.0,0.0413,0.4,0.338
38,acoustic,Swing Life Away,6GrrkiCRO3HYdgRpO4eKEL,58,-6.961,184.866,200067,0.426,6,0.0,0.043,0.789,0.477
39,acoustic,When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,82,-8.648,72.795,213827,0.28,0,0.0,0.0434,0.387,0.612
40,acoustic,Please Don't Say You Love Me,4y0GYqBSHEy7e1FOemdLjK,32,-9.862,85.994,181400,0.541,0,0.0,0.0545,0.321,0.479
